2026-07-07 16:20:25,808 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 16:21:00,752 | INFO     | app.retriever.retriever | Retrieving top 3 documents.
2026-07-07 16:21:00,752 | INFO     | app.vectorstore.chroma_store | Searching for query: what is machine learning?
2026-07-07 16:21:00,753 | INFO     | app.embedding.embedder | Generating query embedding.
2026-07-07 16:21:01,671 | INFO     | app.vectorstore.chroma_store | Retrieved 3 document(s).
2026-07-07 16:21:01,672 | INFO     | app.retriever.retriever | Retrieved 3 documents.
2026-07-07 16:21:01,673 | INFO     | app.prompt.builder | Building prompt using 3 document(s).
2026-07-07 16:21:01,673 | INFO     | app.prompt.builder | Prompt built successfully. Length: 3798 characters.
2026-07-07 16:21:01,674 | INFO     | app.llm.ollama_client | Sending prompt to Ollama.
2026-07-07 16:26:52,924 | INFO     | app.llm.ollama_client | LLM response generated in 351.25 sec.
2026-07-07 16:56:58,626 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 16:56:58,626 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 16:57:05,641 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 16:57:05,781 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 16:57:06,204 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 16:57:06,204 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 16:58:21,516 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 16:58:21,517 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 16:58:27,462 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 16:58:27,594 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 16:58:27,962 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 16:58:27,962 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 17:00:21,562 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 17:00:21,562 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 17:00:28,257 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 17:00:28,370 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 17:00:28,709 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 17:00:28,709 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 17:00:39,748 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 17:00:39,749 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 17:00:47,087 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 17:00:47,196 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 17:00:47,536 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 17:00:47,536 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 17:09:39,979 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 17:09:39,979 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 17:09:46,604 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 17:09:46,722 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 17:09:47,077 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 17:09:47,078 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 17:09:59,739 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 17:09:59,740 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 17:10:05,587 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 17:10:05,696 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 17:10:06,079 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 17:10:06,079 | INFO     | app.container.container | Application Container initialized successfully.
2026-07-07 17:10:38,488 | INFO     | app.container.container | Initializing Application Container.
2026-07-07 17:10:38,489 | INFO     | app.embedding.embedder | Loading embedding model: all-MiniLM-L6-v2
2026-07-07 17:10:44,220 | INFO     | app.embedding.embedder | Embedding model loaded successfully.
2026-07-07 17:10:44,363 | INFO     | app.vectorstore.chroma_store | Connected to collection: rag_documents
2026-07-07 17:10:44,715 | INFO     | app.llm.ollama_client | Initialized Ollama client using model: qwen3:4b
2026-07-07 17:10:44,716 | INFO     | app.container.container | Application Container initialized successfully.
